category;title;image;status
Из тандыра;Сувлак куриный 1 шт;assets/menu/suvlak-kurinyy-1-sht.webp;mapped
Из тандыра;Сувлак свиной 1 шт;assets/menu/suvlak-svinoy-1-sht.webp;mapped
Из тандыра;Шашлык в тандыре из свинины;assets/menu/shashlyk-v-tandyre-iz-svininy.webp;mapped
Из тандыра;Шашлык в тандыре из филе грудки цыплёнка;assets/menu/shashlyk-v-tandyre-iz-file-grudki-cyplenka.webp;mapped
Из тандыра;Шашлык в тандыре из филе бедра цыплёнка;assets/menu/shashlyk-v-tandyre-iz-file-bedra-cyplenka.webp;mapped
Комбо;Мини комбо куриный;assets/menu/mini-kombo-kurinyy.webp;mapped
Комбо;Мини комбо свиной;assets/menu/mini-kombo-svinoy.webp;mapped
Комбо;Комбо Пикник куриный;assets/menu/kombo-piknik-kurinyy.webp;mapped
Комбо;Комбо Пикник свиной;assets/menu/kombo-piknik-svinoy.webp;mapped
Комбо;Комбо Поляна куриный;assets/menu/kombo-polyana-kurinyy.webp;mapped
Комбо;Комбо Поляна свиной;assets/menu/kombo-polyana-svinoy.webp;mapped
Шаверма;Шаверма с цыплёнком S;assets/menu/shaverma-s-cyplenkom.webp;mapped
Шаверма;Шаверма с цыплёнком M;assets/menu/shaverma-s-cyplenkom.webp;mapped
Шаверма;Шаверма с цыплёнком L;assets/menu/shaverma-s-cyplenkom.webp;mapped
Шаверма;Шаверма в пите;assets/menu/shaverma-v-pite.webp;mapped
Шаверма;Снекасти с цыплёнком, картофелем фри и соусом;;no separate photo
Шаверма;Порция;assets/menu/porciya.webp;mapped
Закуски;Сырные палочки / соус;assets/menu/syrnye-palochki-sous.webp;mapped
Закуски;Наггетсы / соус;assets/menu/naggetsy-sous.webp;mapped
Закуски;Кольца кальмара / соус;assets/menu/kolca-kalmara-sous.webp;mapped
Закуски;Креветки фри / соус;;no separate photo
Закуски;Луковые кольца / соус;assets/menu/lukovye-kolca-sous.webp;mapped
Закуски;Наггетсы комбо фри;;no separate photo
Закуски;Кольца кальмара комбо фри;;no separate photo
Закуски;Креветки комбо фри;;no separate photo
Закуски;Картофель фри / соус;assets/menu/kartofel-fri-sous.webp;mapped
Закуски;Батат фри / соус;assets/menu/batat-fri-sous.webp;mapped
Закуски;Картофельные дольки;assets/menu/kartofelnye-dolki.webp;mapped
Салаты;Салат коул слоу;assets/menu/salat-koul-slou.webp;mapped
Салаты;Шеф салат;assets/menu/shef-salat.webp;mapped
Салаты;Салат ачучук из томатов с луком;assets/menu/salat-achuchuk-iz-tomatov-s-lukom.webp;mapped
Десерты;Греческий хворост с корицей;assets/menu/grecheskiy-hvorost-s-koricey.webp;mapped
Десерты;Греческий хворост с сахарной пудрой;assets/menu/grecheskiy-hvorost-s-saharnoy-pudroy.webp;mapped
Десерты;Греческий хворост с мороженым;;no separate photo
Десерты;Мороженое;;no separate photo
Десерты;Топпинг;;no separate photo
Допы;Сыр;;no separate photo
Допы;Соус 30 г;;no separate photo
Допы;Соус 100 г;;no separate photo
Допы;Халапеньо;;no separate photo
Допы;Замена картофель фри на батат фри;;no separate photo

unused;Добрый Кола;assets/menu/napitok-dobryy-kola.webp;saved, not shown
unused;Добрый Апельсин;assets/menu/napitok-dobryy-apelsin.webp;saved, not shown
unused;Bonaqua;assets/menu/napitok-bonaqua.webp;saved, not shown
unused;Добрый тропический;assets/menu/napitok-dobryy-tropicheskiy.webp;saved, not shown
